,Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,Intercept_CH4,TIME_CH4,TIME_CH4_pvalue,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Area,STAGE_1,STAGE_2,STAGE_3,PRE_WET,two_min,one_hour,four_hour,eight_hour,tweny_four_hour
95,20-July-2024 (Day 5)/TG10-01136-2024-07-20T115400_15,-14087.82959,0.340777388,1.33755570466163e-80,575.957765,0.032633756,4.62998520238414e-69,7/20/24,115400,15,11H 54M 0S,30.88,767.2,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
96,20-July-2024 (Day 5)/TG10-01136-2024-07-20T120400_17,-22892.9768,0.53851883,6.56742753387985e-77,1245.255909,0.016685062,3.82422883895185e-45,7/20/24,120400,17,12H 4M 0S,30.88,767.2,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
97,20-July-2024 (Day 5)/TG10-01136-2024-07-20T120900_18,-20708.72596,0.485225169,6.15107411198927e-80,982.8952603,0.022650609,8.36937505048663e-65,7/20/24,120900,18,12H 9M 0S,30.88,767.2,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
98,20-July-2024 (Day 5)/TG10-01136-2024-07-20T121300_82,-513.1683251,0.022795242,3.67077603813206e-33,1248.249245,0.016204791,1.73254071243983e-83,7/20/24,121300,82,12H 13M 0S,30.88,767.2,160,27.8,NA,BLANK,NA,NA,NA,NA,NA,NA,NA
99,20-July-2024 (Day 5)/TG10-01136-2024-07-20T122100_83,-225.7999798,0.015951048,7.96924412049419e-23,1546.753603,0.00941468,1.20516889473538e-31,7/20/24,122100,83,12H 21M 0S,30.88,767.2,160,27.8,NA,BLANK,NA,NA,NA,NA,NA,NA,NA
100,20-July-2024 (Day 5)/TG10-01136-2024-07-20T123800_19,-47054.91383,1.045676632,2.43313651744976e-183,-22653.87896,0.540948513,9.69543366993527e-130,7/20/24,123800,19,12H 38M 0S,30.88,767.2,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
101,20-July-2024 (Day 5)/TG10-01136-2024-07-20T124400_20,-40081.74741,0.884885177,2.91710159220128e-139,-167.1127365,0.046513593,7.49152805056122e-124,7/20/24,124400,20,12H 44M 0S,30.88,767.2,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
102,20-July-2024 (Day 5)/TG10-01136-2024-07-20T125000_21,-79689.78928,1.735580872,1.27360301099776e-181,-59503.83525,1.330091699,3.46203938442895e-212,7/20/24,125000,21,12H 50M 0S,30.88,767.2,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
103,20-July-2024 (Day 5)/TG10-01136-2024-07-20T125500_22,-48572.23204,1.054960845,1.9208993877393e-132,1369.470379,0.012889522,8.61093952816439e-70,7/20/24,125500,22,12H 55M 0S,30.88,767.2,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
104,20-July-2024 (Day 5)/TG10-01136-2024-07-20T130100_23,-125400.686,2.682299266,2.42097478230843e-30,-3727.185539,0.121270469,5.48875625476996e-16,7/20/24,130100,23,13H 1M 0S,30.88,767.2,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
105,20-July-2024 (Day 5)/TG10-01136-2024-07-20T130700_24,-47257.16034,1.010344233,5.64538081166684e-143,157.551259,0.038224611,1.00267907261591e-131,7/20/24,130700,24,13H 7M 0S,30.88,767.2,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
106,20-July-2024 (Day 5)/TG10-01136-2024-07-20T131300_25,-162090.1618,3.413129852,9.82574897780699e-92,310.2187989,0.03479015,5.8065678213333e-65,7/20/24,131300,25,13H 13M 0S,30.88,767.2,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
107,20-July-2024 (Day 5)/TG10-01136-2024-07-20T132200_26,-98386.87835,2.054897694,2.68330506607227e-109,-889.7408661,0.059759171,3.31048858957254e-83,7/20/24,132200,26,13H 22M 0S,30.88,767.2,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
108,20-July-2024 (Day 5)/TG10-01136-2024-07-20T133000_27,-183565.9612,3.790914593,3.42336043923283e-100,-378.0841081,0.048471653,9.45584298287018e-80,7/20/24,133000,27,13H 30M 0S,30.88,767.2,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
109,20-July-2024 (Day 5)/TG10-01136-2024-07-20T133800_28,-180932.602,3.700722795,1.15988818301416e-97,487.3624597,0.030465632,1.51721520686456e-71,7/20/24,133800,28,13H 38M 0S,30.88,767.2,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
110,20-July-2024 (Day 5)/TG10-01136-2024-07-20T134300_29,-130433.509,2.652814355,1.22367106038651e-109,-401.2731197,0.04813734,4.04015974465531e-75,7/20/24,134300,29,13H 43M 0S,30.88,767.2,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
111,20-July-2024 (Day 5)/TG10-01136-2024-07-20T134800_30,-115118.0542,2.32757653,1.63054466607414e-103,-537.1668554,0.050611028,1.92755293779371e-68,7/20/24,134800,30,13H 48M 0S,30.88,767.2,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
112,20-July-2024 (Day 5)/TG10-01136-2024-07-20T135500_31,-55719.50659,1.123863337,7.42153057167734e-70,282.0872429,0.033845007,1.13821386121059e-78,7/20/24,135500,31,13H 55M 0S,30.88,767.2,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
113,20-July-2024 (Day 5)/TG10-01136-2024-07-20T135900_32,-39113.54226,0.787529223,5.256801404068e-76,1094.89444,0.017500008,4.56108008476101e-64,7/20/24,135900,32,13H 59M 0S,30.88,767.2,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
114,20-July-2024 (Day 5)/TG10-01136-2024-07-20T140700_33,-31395.94973,0.628829972,1.85528784120359e-86,1582.125594,0.007808315,1.1151908688305e-38,7/20/24,140700,33,14H 7M 0S,30.88,767.2,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
115,20-July-2024 (Day 5)/TG10-01136-2024-07-20T141100_34,-19193.04494,0.390577729,1.66327440687783e-78,3320.781801,-0.023874219,3.52265364925337e-21,7/20/24,141100,34,14H 11M 0S,30.88,767.2,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
116,20-July-2024 (Day 5)/TG10-01136-2024-07-20T142100_35,-25176.46882,0.497440174,4.01805936028364e-92,1948.941701,0.000429547,0.196142562,7/20/24,142100,35,14H 21M 0S,30.88,767.2,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
117,20-July-2024 (Day 5)/TG10-01136-2024-07-20T142700_36,-46158.6813,0.897808298,1.30180639865e-70,265.9606058,0.032843193,3.1030268263805e-33,7/20/24,142700,36,14H 27M 0S,30.88,767.2,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
118,20-July-2024 (Day 5)/TG10-01136-2024-07-20T143200_85,-38.77048032,0.010250049,1.33028859227718e-12,1771.479839,0.003703609,1.37928274754232e-21,7/20/24,143200,85,14H 32M 0S,30.88,767.2,160,27.8,NA,BLANK,NA,NA,NA,NA,NA,NA,NA
119,20-July-2024 (Day 5)/TG10-01136-2024-07-20T143800_84,66.67051214,0.008154814,2.07006886159272e-09,1814.367169,0.003022097,2.23715069386717e-14,7/20/24,143800,84,14H 38M 0S,30.88,767.2,160,27.8,NA,BLANK,NA,NA,NA,NA,NA,NA,NA
120,22-july-2024 (Day 7)/TG10-01136-2024-07-22T113700_01,-8999.111197,0.227294662,1.64104231557894e-127,1810.336912,0.003045195,2.15754072601394e-15,7/22/24,113700,01,11H 37M 0S,29.33,766.4,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
121,22-july-2024 (Day 7)/TG10-01136-2024-07-22T115200_02,-11470.88925,0.280651045,5.01797516490398e-152,2303.760451,-0.008567813,6.97651853818722e-59,7/22/24,115200,02,11H 52M 0S,29.33,766.4,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
122,22-july-2024 (Day 7)/TG10-01136-2024-07-22T132100_03,-28639.92919,0.608723496,7.35209083000092e-150,2013.909008,-0.001671992,5.64423224469069e-09,7/22/24,132100,03,13H 21M 0S,29.33,766.4,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
123,22-july-2024 (Day 7)/TG10-01136-2024-07-22T132500_04,-16633.53771,0.355037344,2.48593680298732e-142,2305.537457,-0.007723522,1.9567957774884e-54,7/22/24,132500,04,13H 25M 0S,29.33,766.4,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
124,22-july-2024 (Day 7)/TG10-01136-2024-07-22T133600_05,-19162.95621,0.401446056,1.47094803542457e-157,2710.97876,-0.015820283,1.15987535783826e-84,7/22/24,133600,05,13H 36M 0S,29.33,766.4,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
125,22-july-2024 (Day 7)/TG10-01136-2024-07-22T134100_06,-19160.28263,0.398696412,1.72375117561029e-150,2701.497507,-0.015568384,4.85758817447926e-87,7/22/24,134100,06,13H 41M 0S,29.33,766.4,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
126,22-july-2024 (Day 7)/TG10-01136-2024-07-22T134800_19,-42144.92967,0.858519101,7.01523135266548e-154,-2056.470221,0.080255072,2.99330781328668e-148,7/22/24,134800,19,13H 48M 0S,29.33,766.4,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
127,22-july-2024 (Day 7)/TG10-01136-2024-07-22T135300_20,-43410.94795,0.878942568,4.0452329951333e-136,-6203.773981,0.162659267,2.5904238471564e-113,7/22/24,135300,20,13H 53M 0S,29.33,766.4,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
128,22-july-2024 (Day 7)/TG10-01136-2024-07-22T135700_21,-79059.59889,1.585677286,1.75347354799485e-164,-38.26916034,0.039280288,5.04893055627072e-133,7/22/24,135700,21,13H 57M 0S,29.33,766.4,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
129,22-july-2024 (Day 7)/TG10-01136-2024-07-22T140300_22,-55619.65776,1.111224366,1.45629646706493e-147,2307.170558,-0.007387227,4.02409517632576e-49,7/22/24,140300,22,14H 3M 0S,29.33,766.4,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
130,22-july-2024 (Day 7)/TG10-01136-2024-07-22T140900_07,-51369.20683,1.019779553,2.40007068207387e-114,1860.863725,0.001418738,1.12373794156574e-06,7/22/24,140900,07,14H 9M 0S,29.33,766.4,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
131,22-july-2024 (Day 7)/TG10-01136-2024-07-22T143100_08,-71646.99678,1.381935722,1.41579614945671e-112,1819.179368,0.002242211,1.3910564842378e-09,7/22/24,143100,08,14H 31M 0S,29.33,766.4,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
132,22-july-2024 (Day 7)/TG10-01136-2024-07-22T143600_09,-57138.28546,1.098559651,1.87403305489202e-119,1753.782394,0.003495263,1.13955940875516e-23,7/22/24,143600,09,14H 36M 0S,29.33,766.4,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
133,22-july-2024 (Day 7)/TG10-01136-2024-07-22T144000_10,-64426.09172,1.230984469,2.94758875795718e-116,1878.419656,0.00112517,0.000106828,7/22/24,144000,10,14H 40M 0S,29.33,766.4,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
134,22-july-2024 (Day 7)/TG10-01136-2024-07-22T144500_23,-72924.75264,1.383010026,3.67655909928937e-146,1506.855506,0.00807634,2.37087221243462e-54,7/22/24,144500,23,14H 45M 0S,29.33,766.4,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
135,22-july-2024 (Day 7)/TG10-01136-2024-07-22T145000_24,-48701.50263,0.923254107,2.62534837132025e-157,-14827.12955,0.31391612,2.24227909504977e-177,7/22/24,145000,24,14H 50M 0S,29.33,766.4,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
136,22-july-2024 (Day 7)/TG10-01136-2024-07-22T145500_25,-132718.1519,2.484150029,1.18419097155557e-98,2060.37283,-0.002298254,1.12358748402773e-11,7/22/24,145500,25,14H 55M 0S,29.33,766.4,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
137,22-july-2024 (Day 7)/TG10-01136-2024-07-22T145900_26,-66234.96299,1.238869883,2.58033843079769e-110,1911.528461,0.000483476,0.118381731,7/22/24,145900,26,14H 59M 0S,29.33,766.4,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
138,22-july-2024 (Day 7)/TG10-01136-2024-07-22T150400_11,-49872.81722,0.930540326,3.67944207882962e-114,1867.219477,0.001293136,0.000110036,7/22/24,150400,11,15H 4M 0S,29.33,766.4,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
139,22-july-2024 (Day 7)/TG10-01136-2024-07-22T150800_12,-66466.78206,1.230880977,4.88546051453915e-110,1973.392304,-0.000667997,0.027627373,7/22/24,150800,12,15H 8M 0S,29.33,766.4,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
140,22-july-2024 (Day 7)/TG10-01136-2024-07-22T151300_13,-22749.13262,0.426145918,5.17999915263278e-83,1749.220818,0.003442094,6.73454156073021e-22,7/22/24,151300,13,15H 13M 0S,29.33,766.4,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
141,22-july-2024 (Day 7)/TG10-01136-2024-07-22T151700_14,-22711.47162,0.423143609,7.15147109109569e-85,1814.970581,0.002242244,1.47866899323312e-09,7/22/24,151700,14,15H 17M 0S,29.33,766.4,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
142,22-july-2024 (Day 7)/TG10-01136-2024-07-22T152200_15,-19893.58914,0.370072305,8.42789980223253e-85,1871.9967,0.001218686,0.000150889,7/22/24,152200,15,15H 22M 0S,29.33,766.4,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
143,22-july-2024 (Day 7)/TG10-01136-2024-07-22T152600_16,-23833.4208,0.438405352,7.27158976381494e-83,1836.948406,0.001853903,8.38434503179158e-09,7/22/24,152600,16,15H 26M 0S,29.33,766.4,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
144,22-july-2024 (Day 7)/TG10-01136-2024-07-22T153100_17,-23235.35245,0.426535531,6.10449545106656e-87,1861.467518,0.001394153,9.25126607952124e-06,7/22/24,153100,17,15H 31M 0S,29.33,766.4,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
145,22-july-2024 (Day 7)/TG10-01136-2024-07-22T153600_18,-22855.33834,0.417372347,1.96687144684894e-83,1852.356657,0.001550652,8.40346221964256e-07,7/22/24,153600,18,15H 36M 0S,29.33,766.4,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
146,22-july-2024 (Day 7)/TG10-01136-2024-07-22T154000_27,-94836.13066,1.69408926,2.70466490285287e-107,1965.87774,-0.00048602,0.085759164,7/22/24,154000,27,15H 40M 0S,29.33,766.4,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
147,22-july-2024 (Day 7)/TG10-01136-2024-07-22T154400_28,-142353.8604,2.523353184,9.07938715839626e-103,2120.337219,-0.003194425,7.15271580504742e-21,7/22/24,154400,28,15H 44M 0S,29.33,766.4,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
148,22-july-2024 (Day 7)/TG10-01136-2024-07-22T154800_29,-116359.5951,2.055883567,2.39864615059965e-106,2028.267959,-0.001532346,4.78801106210582e-06,7/22/24,154800,29,15H 48M 0S,29.33,766.4,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
149,22-july-2024 (Day 7)/TG10-01136-2024-07-22T155200_30,-141085.1643,2.481722009,1.54684665483547e-104,2134.150383,-0.003409777,3.85867807948953e-22,7/22/24,155200,30,15H 52M 0S,29.33,766.4,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
150,22-july-2024 (Day 7)/TG10-01136-2024-07-22T160600_31,-57337.63633,0.999618229,2.12644880888874e-69,1785.813182,0.00263716,2.04445276556057e-14,7/22/24,160600,31,16H 6M 0S,29.33,766.4,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
151,22-july-2024 (Day 7)/TG10-01136-2024-07-22T161000_32,-53862.48176,0.935881327,2.36633239842128e-69,1962.672589,-0.000417188,0.135596605,7/22/24,161000,32,16H 10M 0S,29.33,766.4,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
152,22-july-2024 (Day 7)/TG10-01136-2024-07-22T161400_33,-47361.59368,0.820642447,2.80308537144029e-74,1881.311249,0.0009882,0.001435549,7/22/24,161400,33,16H 14M 0S,29.33,766.4,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
153,22-july-2024 (Day 7)/TG10-01136-2024-07-22T161800_36,-41723.14055,0.720537071,7.0611604220471e-68,1762.515906,0.003007029,2.99122799879194e-19,7/22/24,161800,36,16H 18M 0S,29.33,766.4,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
154,22-july-2024 (Day 7)/TG10-01136-2024-07-22T162300_34,-37000.43368,0.636993378,1.01204425992185e-72,1857.456263,0.001393426,7.55335584945074e-06,7/22/24,162300,34,16H 23M 0S,29.33,766.4,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
155,22-july-2024 (Day 7)/TG10-01136-2024-07-22T162800_35,-34655.01646,0.594371035,3.09128202706086e-79,1863.179606,0.001282528,5.04215245262781e-05,7/22/24,162800,35,16H 28M 0S,29.33,766.4,160,27.8,NA,35-20,NA,NA,NA,NA,NA,NA,NA
156,22-july-2024 (Day 7)/TG10-01136-2024-07-22T163300_84,-74.85356331,0.009796435,1.7180282085877e-14,1816.905423,0.002051411,1.95299349522092e-10,7/22/24,163300,84,16H 33M 0S,29.33,766.4,160,27.8,NA,BLANK,NA,NA,NA,NA,NA,NA,NA
157,22-july-2024 (Day 7)/TG10-01136-2024-07-22T163800_85,51.25406114,0.007708953,7.77414422898715e-08,1865.296672,0.00124499,2.84126261725705e-05,7/22/24,163800,85,16H 38M 0S,29.33,766.4,160,27.8,NA,BLANK,NA,NA,NA,NA,NA,NA,NA
158,22-july-2024 (Day 7)/TG10-01136-2024-07-22T164700_83,278.8876195,0.004005585,0.000388212,1825.066925,0.001873532,8.99094660358325e-09,7/22/24,164700,83,16H 47M 0S,29.33,766.4,160,27.8,NA,BLANK,NA,NA,NA,NA,NA,NA,NA
159,23-July-2024 (Day 8)/TG10-01136-2024-07-23T112400_02,-18811.54121,0.471024292,4.01364573830413e-158,2550.978884,-0.014938017,1.9887903989676e-82,7/23/24,112400,02,11H 24M 0S,31.79,767.8,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
160,23-July-2024 (Day 8)/TG10-01136-2024-07-23T113200_01,-8145.948883,0.208208978,1.14055374133228e-131,2093.952269,-0.003754763,1.36513730709641e-17,7/23/24,113200,01,11H 32M 0S,31.79,767.8,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
161,23-July-2024 (Day 8)/TG10-01136-2024-07-23T113600_03,-20315.55532,0.499727894,3.87322683250092e-163,2176.166968,-0.005702182,4.36686372978575e-39,7/23/24,113600,03,11H 36M 0S,31.79,767.8,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
162,23-July-2024 (Day 8)/TG10-01136-2024-07-23T114000_04,-17241.22195,0.423365533,4.50464854070721e-150,2673.757028,-0.017420999,1.01473797850283e-93,7/23/24,114000,04,11H 40M 0S,31.79,767.8,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
163,23-July-2024 (Day 8)/TG10-01136-2024-07-23T114400_05,-18188.8411,0.443452959,3.2678617925692e-153,2269.797452,-0.007812677,4.22114864610499e-52,7/23/24,114400,05,11H 44M 0S,31.79,767.8,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
164,23-July-2024 (Day 8)/TG10-01136-2024-07-23T132500_06,-19076.93235,0.40633498,1.0951644079943e-139,2443.189638,-0.010116185,7.07559900981077e-56,7/23/24,132500,06,13H 25M 0S,31.79,767.8,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
165,23-July-2024 (Day 8)/TG10-01136-2024-07-23T132900_07,-38452.61164,0.804910076,4.29082141566312e-122,2399.978873,-0.008971089,1.38271479276936e-40,7/23/24,132900,07,13H 29M 0S,31.79,767.8,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
166,23-July-2024 (Day 8)/TG10-01136-2024-07-23T133300_08,-79788.51922,1.648653367,3.69174848657583e-114,2181.617687,-0.004700786,2.26112264460419e-25,7/23/24,133300,08,13H 33M 0S,31.79,767.8,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
167,23-July-2024 (Day 8)/TG10-01136-2024-07-23T133700_09,-52019.48215,1.074254801,5.78411566205356e-119,2066.005135,-0.002295503,1.65952472091585e-10,7/23/24,133700,09,13H 37M 0S,31.79,767.8,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
168,23-July-2024 (Day 8)/TG10-01136-2024-07-23T134100_10,-67881.07834,1.391593158,3.8150040253704e-120,2144.758391,-0.003932444,2.00611629776297e-25,7/23/24,134100,10,13H 41M 0S,31.79,767.8,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
169,23-July-2024 (Day 8)/TG10-01136-2024-07-23T134500_11,-52091.3677,1.064068981,1.46424104236061e-112,1830.631524,0.002497084,1.22076126901424e-13,7/23/24,134500,11,13H 45M 0S,31.79,767.8,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
170,23-July-2024 (Day 8)/TG10-01136-2024-07-23T134900_12,-106232.8809,2.148674699,5.22420006877756e-104,2142.469709,-0.003861695,9.61995584716222e-27,7/23/24,134900,12,13H 49M 0S,31.79,767.8,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
171,23-July-2024 (Day 8)/TG10-01136-2024-07-23T140400_13,-13730.35634,0.282659085,3.73663828789762e-87,1589.772393,0.007328672,1.19867031894635e-32,7/23/24,140400,13,14H 4M 0S,31.79,767.8,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
172,23-July-2024 (Day 8)/TG10-01136-2024-07-23T140800_14,-26518.37222,0.532502345,1.39735768365544e-78,1544.342508,0.008035761,2.44132321312523e-34,7/23/24,140800,14,14H 8M 0S,31.79,767.8,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
173,23-July-2024 (Day 8)/TG10-01136-2024-07-23T141200_15,-21620.51824,0.434668202,1.2406281421127e-81,1590.096047,0.007188662,6.41027425523022e-32,7/23/24,141200,15,14H 12M 0S,31.79,767.8,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
174,23-July-2024 (Day 8)/TG10-01136-2024-07-23T141600_16,-13192.5212,0.268241517,5.09328516127437e-99,1775.411399,0.003578007,3.00408589636622e-23,7/23/24,141600,16,14H 16M 0S,31.79,767.8,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
175,23-July-2024 (Day 8)/TG10-01136-2024-07-23T142000_17,-35553.11538,0.699986766,1.81664620117113e-75,1666.118226,0.005486731,1.94799778949361e-27,7/23/24,142000,17,14H 20M 0S,31.79,767.8,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
176,23-July-2024 (Day 8)/TG10-01136-2024-07-23T142400_18,-27914.91739,0.550218547,7.76018537151422e-83,1790.424486,0.003155102,1.58731238171698e-19,7/23/24,142400,18,14H 24M 0S,31.79,767.8,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
177,23-July-2024 (Day 8)/TG10-01136-2024-07-23T143500_82,-485.0993698,0.019392726,1.5531842676065e-25,1861.624107,0.001683426,1.38472234111416e-07,7/23/24,143500,82,14H 35M 0S,31.79,767.8,160,27.8,NA,BLANK,NA,NA,NA,NA,NA,NA,NA
178,23-July-2024 (Day 8)/TG10-01136-2024-07-23T143900_83,-394.2578426,0.01670311,1.31364335768699e-27,1824.824963,0.002240525,5.30360166317022e-11,7/23/24,143900,83,14H 39M 0S,31.79,767.8,160,27.8,NA,BLANK,NA,NA,NA,NA,NA,NA,NA
179,23-July-2024 (Day 8)/TG10-01136-2024-07-23T145800_19,-63433.36695,1.190708593,6.57563940726308e-148,-20555.67544,0.417811454,3.23492807404911e-111,7/23/24,145800,19,14H 58M 0S,31.79,767.8,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
180,23-July-2024 (Day 8)/TG10-01136-2024-07-23T150700_20,-91014.21737,1.683247372,1.91617525008276e-120,2068.09232,-0.002119185,2.67442552229787e-10,7/23/24,150700,20,15H 7M 0S,31.79,767.8,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
181,23-July-2024 (Day 8)/TG10-01136-2024-07-23T151100_21,-112237.6579,2.066195148,1.02066006712926e-137,-292.2400577,0.041120312,1.08164070716294e-131,7/23/24,151100,21,15H 11M 0S,31.79,767.8,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
182,23-July-2024 (Day 8)/TG10-01136-2024-07-23T151700_21,-87401.16678,1.601531054,2.93749362488763e-129,2877.779414,-0.016771242,4.84170573149843e-89,7/23/24,151700,21,15H 17M 0S,31.79,767.8,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
183,23-July-2024 (Day 8)/TG10-01136-2024-07-23T152200_23,-98134.05394,1.786540647,1.03807351076649e-137,1381.347044,0.010301367,7.86902088509821e-64,7/23/24,152200,23,15H 22M 0S,31.79,767.8,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
184,23-July-2024 (Day 8)/TG10-01136-2024-07-23T152700_24,-65470.01376,1.189692573,8.66229503762907e-154,-3487.038897,0.097813734,6.86768244651936e-174,7/23/24,152700,24,15H 27M 0S,31.79,767.8,160,27.8,NA,35-90,NA,NA,NA,NA,NA,NA,NA
185,23-July-2024 (Day 8)/TG10-01136-2024-07-23T153100_25,-133536.7285,2.406423718,1.23290927012792e-95,2140.409321,-0.003266627,2.68439488606221e-18,7/23/24,153100,25,15H 31M 0S,31.79,767.8,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
186,23-July-2024 (Day 8)/TG10-01136-2024-07-23T153600_26,-88980.14393,1.597387799,1.91998401697244e-107,1126.155428,0.014709752,4.97915900235521e-50,7/23/24,153600,26,15H 36M 0S,31.79,767.8,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
187,23-July-2024 (Day 8)/TG10-01136-2024-07-23T154300_27,-187495.3988,3.329278193,1.60524015233586e-99,1690.193409,0.004753206,3.68329796230395e-24,7/23/24,154300,27,15H 43M 0S,31.79,767.8,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
188,23-July-2024 (Day 8)/TG10-01136-2024-07-23T154800_28,-216996.1357,3.827658708,1.80456179927971e-97,1708.5198,0.004184607,2.47494485872358e-22,7/23/24,154800,28,15H 48M 0S,31.79,767.8,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
189,23-July-2024 (Day 8)/TG10-01136-2024-07-23T155300_29,-157687.8337,2.772586103,5.36647408057839e-104,934.1005359,0.017784258,9.35868120271175e-53,7/23/24,155300,29,15H 53M 0S,31.79,767.8,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
190,23-July-2024 (Day 8)/TG10-01136-2024-07-23T155800_30,-144233.5503,2.522261671,1.32737233787039e-99,999.5278361,0.016563193,4.13896497343673e-51,7/23/24,155800,30,15H 58M 0S,31.79,767.8,160,27.8,NA,35-50,NA,NA,NA,NA,NA,NA,NA
