,Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,Intercept_CH4,TIME_CH4,TIME_CH4_pvalue,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Area,STAGE_1,STAGE_2,STAGE_3,PRE_WET,two_min,one_hour,four_hour,eight_hour,tweny_four_hour
22,16-July-2024 (Day 1)/TG10-01136-2024-07-16T170800_22,-47889.27131,0.784616238,6.78180218565018e-145,2264.552517,-0.005038138,3.13643236837122e-39,7/16/24,170800,22,17H 8M 0S,28.35,765.9,160,27.8,90,NA,NA,NA,NA,NA,NA,NA,NA
23,16-July-2024 (Day 1)/TG10-01136-2024-07-16T171500_23,-79380.09201,1.286934765,4.96912102080995e-177,-58668.7267,0.977129251,6.35192812501673e-163,7/16/24,171500,23,17H 15M 0S,28.35,765.9,160,27.8,90,NA,NA,NA,NA,NA,NA,NA,NA
24,16-July-2024 (Day 1)/TG10-01136-2024-07-16T172000_24,-41496.54583,0.673240686,2.42672556242413e-153,2002.120527,-0.00083444,0.005677442,7/16/24,172000,24,17H 20M 0S,28.35,765.9,160,27.8,90,NA,NA,NA,NA,NA,NA,NA,NA
25,16-July-2024 (Day 1)/TG10-01136-2024-07-16T172500_25,-96042.93871,1.53895565,1.75538530616053e-112,1628.656364,0.005074854,1.33163446301742e-25,7/16/24,172500,25,17H 25M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
26,16-July-2024 (Day 1)/TG10-01136-2024-07-16T173100_26,-70694.62979,1.129457899,4.08621645220052e-124,592.7069094,0.021423181,5.3045932170691e-65,7/16/24,173100,26,17H 31M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
27,16-July-2024 (Day 1)/TG10-01136-2024-07-16T173600_27,-73540.92686,1.168801206,2.49675824566807e-124,1336.363899,0.009574854,1.48749189449974e-45,7/16/24,173600,27,17H 36M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
28,16-July-2024 (Day 1)/TG10-01136-2024-07-16T174200_28,-104264.1686,1.645049756,2.93288786603145e-113,912.3253597,0.016219211,3.169954985567e-50,7/16/24,174200,28,17H 42M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
29,16-July-2024 (Day 1)/TG10-01136-2024-07-16T174900_29,-43587.66656,0.687635104,1.59801692244541e-138,1485.881533,0.00716197,8.61696913909783e-41,7/16/24,174900,29,17H 49M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
30,16-July-2024 (Day 1)/TG10-01136-2024-07-16T175300_30,-78613.91615,1.228348997,1.21467072610928e-118,1681.900584,0.004250576,2.59316407177757e-20,7/16/24,175300,30,17H 53M 0S,28.35,765.9,160,27.8,50,NA,NA,NA,NA,NA,NA,NA,NA
31,16-July-2024 (Day 1)/TG10-01136-2024-07-16T180000_31,-32131.52463,0.504947853,1.94852182646784e-79,1946.137374,0.00109328,0.000484062,7/16/24,180000,31,18H 0M 0S,28.35,765.9,160,27.8,20,NA,NA,NA,NA,NA,NA,NA,NA
32,16-July-2024 (Day 1)/TG10-01136-2024-07-16T180400_32,-23051.987,0.363149309,1.20681564509055e-83,2739.446264,-0.010650183,2.7700534086587e-33,7/16/24,180400,32,18H 4M 0S,28.35,765.9,160,27.8,20,NA,NA,NA,NA,NA,NA,NA,NA
33,16-July-2024 (Day 1)/TG10-01136-2024-07-16T180900_33,-28657.08418,0.447625423,7.29221621958388e-89,2762.418853,-0.010454071,2.38630483033563e-33,7/16/24,180900,33,18H 9M 0S,28.35,765.9,160,27.8,20,NA,NA,NA,NA,NA,NA,NA,NA
