Model,JarID,Time,Label,treatment,WHC,Temperature,Date,WET_UP_stage,finalC02flux_gSoil_hr,WET_UP_stage_correct
29-July-2024-8h_WETUP/TG10-01136-2024-07-29T200200_25,25,20H 2M 0S,35-50,50-35,50,35,2024-07-29,eight_hour,0.08401232561249,480
29-July-2024-8h_WETUP/TG10-01136-2024-07-29T200600_26,26,20H 6M 0S,35-50,50-35,50,35,2024-07-29,eight_hour,0.0664556445246325,480
29-July-2024-8h_WETUP/TG10-01136-2024-07-29T200900_32,32,20H 9M 0S,35-20,20-35,20,35,2024-07-29,eight_hour,0.178847800278741,480
29-July-2024-8h_WETUP/TG10-01136-2024-07-29T201500_33,33,20H 15M 0S,35-20,20-35,20,35,2024-07-29,eight_hour,0.237117561340261,480
29-July-2024-8h_WETUP/TG10-01136-2024-07-29T201900_21,21,20H 19M 0S,35-90,90-35,90,35,2024-07-29,eight_hour,0.0656203023291588,480
29-July-2024-8h_WETUP/TG10-01136-2024-07-29T202200_20,20,20H 22M 0S,35-90,90-35,90,35,2024-07-29,eight_hour,0.0647454266984781,480
29-July-2024-8h_WETUP/TG10-01136-2024-07-29T202500_31,31,20H 25M 0S,35-20,20-35,20,35,2024-07-29,eight_hour,0.225363850341159,480
29-July-2024-8h_WETUP/TG10-01136-2024-07-29T202900_19,19,20H 29M 0S,35-90,90-35,90,35,2024-07-29,eight_hour,0.111463186823897,480
29-July-2024-8h_WETUP/TG10-01136-2024-07-29T203200_27,27,20H 32M 0S,35-50,50-35,50,35,2024-07-29,eight_hour,0.118402771864444,480
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T093700_08,8,9H 37M 0S,25-50,50-25,50,25,2024-07-29,PRE_WET,0.541924612818645,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T094000_14,14,9H 40M 0S,25-20,20-25,20,25,2024-07-29,PRE_WET,0.118680850227601,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T094600_13,13,9H 46M 0S,25-20,20-25,20,25,2024-07-29,PRE_WET,0.123166745642284,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T094900_15,15,9H 49M 0S,25-20,20-25,20,25,2024-07-29,PRE_WET,0.106316216651674,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T095300_09,9,9H 53M 0S,25-50,50-25,50,25,2024-07-29,PRE_WET,0.548912774865281,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T095900_07,7,9H 59M 0S,25-50,50-25,50,25,2024-07-29,PRE_WET,0.259880125664011,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T100300_01,1,10H 3M 0S,25-90,90-25,90,25,2024-07-29,PRE_WET,0.0976379776188419,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T100600_02,2,10H 6M 0S,25-90,90-25,90,25,2024-07-29,PRE_WET,0.152268117485401,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T101000_03,3,10H 10M 0S,25-90,90-25,90,25,2024-07-29,PRE_WET,0.189770703433664,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T101500_19,19,10H 15M 0S,35-90,90-35,90,35,2024-07-29,PRE_WET,0.330018954618161,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T101800_25,25,10H 18M 0S,35-50,50-35,50,35,2024-07-29,PRE_WET,1.10135024544607,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T102200_26,26,10H 22M 0S,35-50,50-35,50,35,2024-07-29,PRE_WET,0.466395582012299,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T102500_21,21,10H 25M 0S,35-90,90-35,90,35,2024-07-29,PRE_WET,0.448086798848827,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T103000_31,31,10H 30M 0S,35-20,20-35,20,35,2024-07-29,PRE_WET,0.209143863778593,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T103400_20,20,10H 34M 0S,35-90,90-35,90,35,2024-07-29,PRE_WET,0.422558970972502,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T104200_27,27,10H 42M 0S,35-50,50-35,50,35,2024-07-29,PRE_WET,0.679715756526283,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T104600_33,33,10H 46M 0S,35-20,20-35,20,35,2024-07-29,PRE_WET,0.155961407237533,0
29-July-2024-PRE_WETUP/TG10-01136-2024-07-29T104900_32,32,10H 49M 0S,35-20,20-35,20,35,2024-07-29,PRE_WET,0.263258811051357,0
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T113300_01,1,11H 33M 0S,25-90,90-25,90,25,2024-07-30,twenty_four_hour,0.0496630596992511,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T113600_02,2,11H 36M 0S,25-90,90-25,90,25,2024-07-30,twenty_four_hour,0.0606221415794593,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T114100_03,3,11H 41M 0S,25-90,90-25,90,25,2024-07-30,twenty_four_hour,0.0518634825458526,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T114400_07,7,11H 44M 0S,25-50,50-25,50,25,2024-07-30,twenty_four_hour,0.055115109963716,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T114700_08,8,11H 47M 0S,25-50,50-25,50,25,2024-07-30,twenty_four_hour,0.0616137630482028,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T115000_09,9,11H 50M 0S,25-50,50-25,50,25,2024-07-30,twenty_four_hour,0.0700147000776705,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T115300_13,13,11H 53M 0S,25-20,20-25,20,25,2024-07-30,twenty_four_hour,0.200364053762735,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T120200_15,15,12H 2M 0S,25-20,20-25,20,25,2024-07-30,twenty_four_hour,0.141741216781007,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T120500_14,14,12H 5M 0S,25-20,20-25,20,25,2024-07-30,twenty_four_hour,0.155773953745834,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T120800_26,26,12H 8M 0S,35-50,50-35,50,35,2024-07-30,twenty_four_hour,0.133881043491845,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T121100_27,27,12H 11M 0S,35-50,50-35,50,35,2024-07-30,twenty_four_hour,0.126760749572765,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T121400_31,31,12H 14M 0S,35-20,20-35,20,35,2024-07-30,twenty_four_hour,0.289488680905623,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T121700_25,25,12H 17M 0S,35-50,50-35,50,35,2024-07-30,twenty_four_hour,0.161409472722469,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T122000_32,32,12H 20M 0S,35-20,20-35,20,35,2024-07-30,twenty_four_hour,0.299600526187734,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T122400_19,19,12H 24M 0S,35-90,90-35,90,35,2024-07-30,twenty_four_hour,0.104778504844601,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T122700_33,33,12H 27M 0S,35-20,20-35,20,35,2024-07-30,twenty_four_hour,0.315956161672473,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T123000_21,21,12H 30M 0S,35-90,90-35,90,35,2024-07-30,twenty_four_hour,0.0985252989246676,1440
30-july-2024-24hr_WETUP/TG10-01136-2024-07-30T123500_20,20,12H 35M 0S,35-90,90-35,90,35,2024-07-30,twenty_four_hour,0.163644991109482,1440
